"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys60","sys61","sys62"
1,1,0.0625,1,1,1,1,1,1,1,0.2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,1,0.0476,1,1,1,0.5,1,1,0.0909,1,0.1429,0.1429,0.0025,0.0091,0.0075,0.0096,1,1,1,0.1667,0.5,0.5,0.5,0.0714,1,0.0175,1,0.5,0.25,1,0.5,1,1,0.0909,1,0.1429,0.0025,0.0028
0.5,0.5,0.0333,0.0909,0.0909,0.0909,1,0.1667,0.1667,0.3333,0.0556,0.3333,0.5,0.0455,0.0455,0.0333,0.1429,1,0.0909,0.1429,1,0.1429,1,1,0.1,1,1,1,1,1,0.5,0.5,1,0.5,0.2,0.1429,0.0114,0.027,0.0286,0.0182,0.125,0.3333,0.3333,1,0.0455,0.0476,0.0333,1,1,1,0.05,0.0476,0.0667,1,1,0.5,0.5,1,0.5,0.2,0.0114,0.0256
0.0227,0.013,0.0021,0.5,0.5,0.5,0.5,0.1667,0.2,1,0.0303,0.1429,0.1,1,1,1,0,0.1667,0,0,0.3333,0.3333,1,0.5,0.0023,0.3333,0.3333,0.3333,0.25,0.2,0.3333,0.3333,0.027,0.3333,0.0769,0.0833,0,0.0019,0.0019,0.0019,0.2,0.2,0.2,0.0303,1,1,1,1,1,0.0625,0.1667,0.0222,0.025,0.3333,0.2,0.3333,0.3333,0.027,0.3333,0.0769,0,0
0.2,0.2,0.0208,0.0204,0.0278,0.037,0.0526,0.0139,0.0139,0,0.0182,0.025,0.3333,0.3333,0.3333,0.3333,0.0476,0,0.3333,0.3333,1,0.0909,0.1,0.0417,0.0588,0.3333,0.3333,0.3333,0.0833,0.0833,0.1,0.2,0.2,0.0714,0.25,0.25,0.125,0.1429,0.25,0.125,0.013,0.011,0.011,0.0079,0.3333,0.3333,0.3333,0.0769,0.0074,0.0667,0.1429,0.25,1,0.0833,0.0526,0.1429,0.2,0.2,0.0714,0.25,0.125,0.125
0.2,0.1667,0.3333,0,0,0,0,0.1,0.0417,0.3333,0.125,0.1111,1,0.0208,0.0208,0.0227,0.25,0.125,0.04,0.04,0.3333,0.25,0.5,0.5,0.1,0.25,1,1,1,1,1,0.3333,0.0833,0.05,0.0143,0.0227,0.0127,0.5,0.3333,0.5,0.0667,0.25,0.2,0.1429,0.0208,0.0137,0.0227,0.5,0.5,0.1429,0.037,0.05,0.0435,0.3333,1,0.2,0.3333,0.0833,0.05,0.0143,0.0127,0.0303
0,0,0,1,1,1,0,1,1,1,0.5,0.5,0,1,1,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.3333,0,1,1,1,0,0,0,0.0118,0.0083,0.0119,1,1,1,0.5,1,0.5,0.1429,0,0,0,0,0,0,0.5,0.3333,0,1,1,1,0,0,0
1,1,0.5,0.0556,0.0556,0.0556,1,1,0.25,1,0.1429,0.125,0.125,1,0.5,0.5,0.5,0,1,1,1,1,1,1,1,0.0625,0.1667,0.037,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,0.1429,0.5,1,0.5,0.0909,1,0.0132,0.25,0.1,0.5,1,1,1,0.5,0.5,1,1,1,1
0.5,0.5,1,0.0455,0.0588,0.0588,0.5,0.5,1,0.3333,1,0.3333,0.5,1,1,1,0.1667,0.0833,0.0769,0.125,0.25,1,0.5,0.3333,0.2,1,0.1429,0.0312,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.3333,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,0.5,0.3333,0.5,1,0.5,1,1,1,0.5,1,0.5,0.5,0.5,0.3333,0.3333
0.25,0.1429,0.1667,0.0909,0.0909,0.0909,1,1,1,1,0.2,1,1,1,1,1,0.5,0,0,0.001,1,0.5,0.0625,0.3333,1,1,0.5,1,1,1,0.5,1,1,1,1,1,1,0.1429,0.1429,0.1429,1,1,1,0.1,1,1,1,0,0.3333,0.1429,0.25,0.3333,0.25,1,1,0.5,1,1,1,1,1,1
0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1429,0.25,0.5,0.3333,1,1,1,0.027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.25,0.2,0.5,0.2,0.2,0.2,0.5,1,1,0.02,0.3333,1,1,1,1,1,1,0.1667,0.1667,1,0.3333,1,0.5,0.3333,1,0.1667,1,1,1,1,0.0185,1,1,1,1,1,1,1,1,1,0.3333,0.5,1,0.5,1,1,1,0.0137,0.3333,0.2,1,1,1,1,1,1,1,1,1,1,1,1
1,0.5,0.25,0.0455,0.0417,0.0417,1,0.3333,0.3333,0.0556,0.0333,0.0909,1,0.5,0.5,1,0.0833,0.037,0.25,0.2,1,0.0769,1,0.5,0.1111,1,0.0909,1,0.5,1,0.5,0.1111,0.1111,0.1,0.0909,0.1667,0.0476,0.25,0.1429,0.1,0.5,0.25,0.25,0.0263,0.5,0.2,1,1,1,0.25,0.1667,0.1429,0.2,0.5,1,0.5,0.0476,0.1,0.1111,0.0909,0.0476,0.0476
0.25,0.25,0.0164,0.04,0.0417,0.0417,0.0108,0.0556,0.037,0.0043,0.0027,0.0027,0.0116,0.0175,0.0175,0.0164,0.0909,0,0,0,0.1667,0.0625,0.0526,0.0769,0.0196,0.0112,0.013,0.0154,0.0189,0.0156,0,0.0588,0.0204,0.0385,0.0476,0.0476,0.0033,0.0066,0.0054,0.0062,0.0435,0.125,0.0714,0.0019,0.0175,0.0625,0.0164,0.0143,0.04,0.0294,0.1,0.1429,0.0833,0.0213,0.0149,0,0.0588,0.0204,0.0385,0.0476,0.0033,0.0053
